Facility_Type,Facility_Number,Facility_Name,Licensee,Facility_Administrator,Facility_Telephone Number,Facility_Address,Facility_City,Facility_State,Facility_Zip,County_Name,Regional_Office,Facility_Capacity,Facility_Status,License_First_Date,Closed_Date
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,336424396,SEGOVIA OF PALM DESERT,"SEGOVIA OPERATIONS, OAKMONT SR LVG; OAKMONT MGT GR","SCHAFFER II, ERNEST C",(760) 341-4554,39905 VIA SCENA,PALM DESERT,CA,92260,RIVERSIDE,18,182,LICENSED,4/29/2010,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,306000889,SENIOR LIVING COMMUNITY FOR THE EASTERN STAR IN CA,EASTERN STAR HOMES OF CALIFORNIA INC.,JO DEE GIBSON,(714) 577-9281,16850 E. BASTANCHURY ROAD,YORBA LINDA,CA,92886,ORANGE,22,76,LICENSED,12/9/1998,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,410500567,"SEQUOIAS-PORTOLA VALLEY, THE","SEQUOIA LIVING, INC.",MICHAEL CATALDO,(650) 851-1501,501 PORTOLA ROAD,PORTOLA VALLEY,CA,94028,SAN MATEO,14,328,LICENSED,11/5/1985,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,380500593,SEQUOIAS SAN FRANCISCO (THE),"SEQUOIA LIVING, INC.",GLEN GODDARD,(415) 922-9700,1400 GEARY BLVD,SAN FRANCISCO,CA,94109,SAN FRANCISCO,14,400,LICENSED,5/21/1975,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,100406684,SIERRA VIEW HOMES RESIDENTIAL CARE,"SIERRA VIEW HOMES, INC.","GENNA, VITO J.",(559) 638-9226,1155 E. SPRINGFIELD,REEDLEY,CA,93654,FRESNO,24,78,LICENSED,3/18/1991,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,191802082,SOLHEIM SENIOR COMMUNITY,SOLHEIM LUTHERAN HOME,PALOMA BARROSO,(323) 257-7518,2236 MERTON AVENUE,LOS ANGELES,CA,90041,LOS ANGELES,31,126,LICENSED,6/22/1993,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,490107656,SPRING LAKE VILLAGE,COVIA COMMUNITIES,"ALLEN, CLARA",(707) 538-8400,5555 MONTGOMERY DRIVE,SANTA ROSA,CA,95409,SONOMA,21,679,LICENSED,8/7/1993,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,415600689,"STRATFORD, THE",SUNRISE STRATFORD GP & LP; SUNRISE SENIOR LVG MGT,"VIOLA, GAYLE",(650) 342-4106,601 LAUREL AVE,SAN MATEO,CA,94401,SAN MATEO,14,96,LICENSED,8/1/2006,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,11400627,ST. PAUL'S TOWERS,COVIA COMMUNITIES,"LINDE, MARY",(510) 835-4700,100 BAY PLACE,OAKLAND,CA,94610,ALAMEDA,15,320,LICENSED,8/14/1985,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,435201317,SUNNY VIEW RETIREMENT COMMUNITY,FRONT PORCH COMMUNITIES AND SERVICES,SALLY PLANK,(408) 253-4300,22445 CUPERTINO ROAD,CUPERTINO,CA,95014,SANTA CLARA,26,190,LICENSED,5/2/2003,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,210102761,TAMALPAIS,"SEQUOIA LIVING, INC.","GOERZEN, ROB",(415) 461-2300,501 VIA CASITAS,GREENBRAE,CA,94904,MARIN,21,341,LICENSED,6/1/1988,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,430708050,"TERRACES AT LOS ALTOS, THE",HUMANGOOD & HUMANGOOD NORCAL,"GONZALES, DEBORAH",(650) 948-8291,373 PINE LANE,LOS ALTOS,CA,94022,SANTA CLARA,26,250,LICENSED,2/27/1967,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,100400544,"TERRACES AT SAN JOAQUIN GARDENS, THE",HUMANGOOD & HUMANGOOD NORCAL & HUMANGOOD FRESNO,"LOPEZ, JESSICA",(559) 439-4770,5555 NORTH FRESNO STREET,FRESNO,CA,93710,FRESNO,24,652,LICENSED,2/9/1994,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,430708817,"TERRACES OF LOS GATOS, THE",HUMANGOOD & HUMANGOOD NORCAL,"BURGOYNE, BRADLEY",(408) 356-1006,800 BLOSSOM HILL ROAD,LOS GATOS,CA,95032,SANTA CLARA,26,458,LICENSED,12/22/1992,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,300600977,TOWN & COUNTRY MANOR,CHRISTIAN AND MISSIONARY ALLIANCE,STEPHENIE JUKIC,(714) 547-7581,555 E. MEMORY LANE,SANTA ANA,CA,92706,ORANGE,22,240,LICENSED,12/5/1975,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,577001215,UNIVERSITY RETIREMENT COMMUNITY AT DAVIS,UNIVER RETIRE COM AT DAVIS/PACIFIC RETIRE SERVICES,MARIA BURTON,(530) 747-7000,1515 SHASTA DRIVE,DAVIS,CA,95616,YOLO,21,500,LICENSED,2/18/2000,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,565800978,UNIVERSITY VILLAGE THOUSAND OAKS,"UNIV. VLG. T. OAKS CCRC LLC, & LIFE CARE SVCS LLC.",ESTRIN DMITRY,(805) 241-3000,3415 CAMPUS DRIVE,THOUSAND OAKS,CA,91360,VENTURA,31,514,LICENSED,9/24/2007,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,421700411,VALLE VERDE,HUMANGOOD & HUMANGOOD NORCAL,"HONIG, MELISSA",(805) 883-4118,900 CALLE DE LOS AMIGOS,SANTA BARBARA,CA,93105,SANTA BARBARA,29,547,LICENSED,9/17/1993,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,496803049,VARENNA AT FOUNTAINGROVE,"VARENNA LLC, OAKMONT SR LVG; OAKMONT MGT GROUP","BUOT, FERDINAND",(707) 526-1226,1401 FOUNTAINGROVE PKWY,SANTA ROSA,CA,95403,SONOMA,21,322,ON PROBATION,5/2/2008,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,374600675,VI AT LA JOLLA VILLAGE,"CCW LA JOLLA LLC, CC-LA JOLLA INC, CLASSIC RES MGM","BOUDREAU, STEPHANIE",(858) 646-7700,8515 COSTA VERDE BLVD,SAN DIEGO,CA,92122,SAN DIEGO,8,783,LICENSED,7/16/1998,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,435200930,VI AT PALO ALTO,"CC-PALO ALTO,INC. & CLASSIC RES.MGMT. LTD. PARTNER",STEVE A. BRUDNICK,(650) 853-5000,620 SAND HILL ROAD,PALO ALTO,CA,94304,SANTA CLARA,26,876,LICENSED,6/2/2005,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,197602345,VILLA GARDENS,FRONT PORCH COMMUNITIES AND SERVICES,JEFFREY SIANKO,(626) 796-8162,842 EAST VILLA STREET,PASADENA,CA,91101,LOS ANGELES,28,340,LICENSED,6/30/1999,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,210108102,VILLA MARIN AMBULATORY CARE UNIT,VILLA MARIN HOMEOWNERS ASSOCIATION,PATRICIA STEPHENS,(415) 499-8711,100 THORNDALE DRIVE,SAN RAFAEL,CA,94903,MARIN,21,28,LICENSED,,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,336403573,"VILLAGE, THE","FREEDOM PROPERTIES HEMET, LLC.",JOANN  FIGUEROA,(951) 766-5116,2200 WEST ACACIA,HEMET,CA,92545,RIVERSIDE,18,452,LICENSED,9/18/2000,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,425800464,VISTA DEL MONTE,"FRONT PORCH COMMUNITIES AND SERVICES, INC.",DOUGLAS TUCKER,(805) 687-0793,3775 MODOC ROAD,SANTA BARBARA,CA,93105,SANTA BARBARA,29,266,LICENSED,7/30/1999,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,306000961,WALNUT VILLAGE,FRONT PORCH COMMUNITIES AND SERVICES,NADINE A. ROISMAN,(714) 776-7150,891 WALNUT STREET,ANAHEIM,CA,92802,ORANGE,22,300,LICENSED,6/30/1999,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,435294364,WEBSTER HOUSE,WEBSTER HOUSE SENIOR LIVING LLC,"HIBBS, LINDA",(650) 327-4333,401 WEBSTER STREET,PALO ALTO,CA,94301,SANTA CLARA,26,54,CLOSED,9/1/2011,6/1/2015
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,435202504,WEBSTER HOUSE,COVIA COMMUNITIES,"HIBBS, LINDA",(650) 327-4333,401 WEBSTER STREET,PALO ALTO,CA,94301,SANTA CLARA,26,54,LICENSED,6/1/2015,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,197605591,WESTMINSTER GARDENS,HUMANGOOD & HUMANGOOD SOCAL,"WALPER, MICHAEL",(626) 358-2569,1420 SANTO DOMINGO AVENUE,DUARTE,CA,91010,LOS ANGELES,28,200,LICENSED,5/4/2004,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,372000641,WHITE SANDS LA JOLLA,HUMANGOOD & HUMANGOOD SOCAL,"BORIERO, GARY",(858) 454-4201,7450 OLIVETAS AVE,LA JOLLA,CA,92037,SAN DIEGO,8,299,LICENSED,8/30/1974,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,191202190,WINDSOR,HUMANGOOD & HUMANGOOD SOCAL,"CAMERON, LEIF J",(818) 244-7219,1230 EAST WINDSOR ROAD,GLENDALE,CA,91205,LOS ANGELES,28,175,LICENSED,2/1/1978,
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,405800361,WYNDHAM RESIDENCE,"COMPASS HEALTH, INC.",BARBARA FISCHER,(805) 474-7260,222 S. ELM STREET,ARROYO GRANDE,CA,93420,SAN LUIS OBISPO,29,72,LICENSED,7/24/1998,
RESIDENTIAL CARE ELDERLY,197608880,17201 LAHEY STREET,"17201 LAHEY STREET, CORPORATION",SEVAK ARUTYUNYAN,(818) 203-7779,17201 LAHEY STREET,GRANADA HILLS,CA,91344,LOS ANGELES,31,6,CLOSED,11/17/2015,6/26/2019
RESIDENTIAL CARE ELDERLY,415600880,19TH PARK AVE HOME CARE,"PEIG, ANNETTE GUEVARRA","PEIG, ANNETTE/BUGAY, MARLO",(650) 638-1726,1628 CELESTE DRIVE,SAN MATEO,CA,94402,SAN MATEO,14,6,CLOSED,7/29/2013,6/22/2016
RESIDENTIAL CARE ELDERLY,415600833,1ST PACIFIC COAST HOMES II,DEBORAH M. DAHLEN,DEBORAH M. DAHLEN,(650) 873-8635,2585 ARDEE LANE,SOUTH SAN FRANCISCO,CA,94080,SAN MATEO,14,6,LICENSED,4/8/2011,
RESIDENTIAL CARE ELDERLY,336410302,1ST SERENITY SENIOR CARE HOME,JUDITH J. SAMPSON,JUDITH SAMPSON,(951) 924-6800,14672 SALT RIVER WAY,MORENO VALLEY,CA,92555,RIVERSIDE,18,6,CLOSED,3/16/2006,2/26/2015
RESIDENTIAL CARE ELDERLY,435294219,2 ALL ABOUT SENIORS,"HALL, PATRICK & DEBRA",KENDALL HALL,(408) 483-2433,1474 POMPEY DRIVE,SAN JOSE,CA,95128,SANTA CLARA,26,6,LICENSED,11/21/2006,
RESIDENTIAL CARE ELDERLY,157206652,24/7 RESIDENTIAL CARE HOME,"ALBANDIA, MYRNA",MYRNA ALBANDIA,(661) 398-9394,612 JUMBUCK LANE,BAKERSFIELD,CA,93307,KERN,24,6,LICENSED,6/26/2013,
RESIDENTIAL CARE ELDERLY,415600111,"2ND GRACE & JOY CARE HOME, THE","LUO, TIAN-EN & YANG, JIANG-HONG","YANG,JIANG-HONG",(650) 278-3329,87 BERTA CIRCLE,DALY CITY,CA,94015,SAN MATEO,14,7,CLOSED,11/5/1997,10/16/2015
RESIDENTIAL CARE ELDERLY,107206874,3 ANGELS HOME,"BALALLO, RODALYN & VICTORINO","BALALLO, RODALYN",(559) 875-3833,6095 N DEWOLF AVE,CLOVIS,CA,93619,FRESNO,24,6,CLOSED,2/11/2015,1/11/2016
RESIDENTIAL CARE ELDERLY,374603018,"3 SISTERS HACIENDA, LLC","3 SISTERS HACIENDA, LLC","AMUNDSON, TAMARA",(760) 294-7996,1911 BEAR VALLEY OAKS,ESCONDIDO,CA,92025,SAN DIEGO,8,6,LICENSED,7/20/2010,
RESIDENTIAL CARE ELDERLY,361880688,3039 COTTAGE,SHAWNARIEL INTERNATIONAL INC,"ROSALES, YARELI",(626) 841-9413,3039 CEDAR ST,SAN BERNARDINO,CA,92404,SAN BERNARDINO,18,6,LICENSED,7/29/2019,
RESIDENTIAL CARE ELDERLY,361800468,3313 COTTAGE,SHAWNARIEL INTERNATIONAL INC,"ROSALES, YARELI",(760) 472-8544,3313 CONEJO DR,SAN BERNARDINO,CA,92404,SAN BERNARDINO,18,6,CLOSED,,5/22/2018
RESIDENTIAL CARE ELDERLY,361880673,3313 COTTAGE,SHAWNARIEL INTERNATIONAL INC,"ROSALES, YARELI",(626) 841-9413,3313 CONEJO DR,SAN BERNADINO,CA,92404,SAN BERNARDINO,18,6,LICENSED,5/10/2019,
RESIDENTIAL CARE ELDERLY,107206762,3ANGELS HOME,"BALALLO, VICTORINO & BALALLO, RODALYN","BALALLO, RODALYN",(408) 806-9419,1949 TAMARACK AVE.,SANGER,CA,93657,FRESNO,24,6,CLOSED,1/11/2016,4/8/2016
RESIDENTIAL CARE ELDERLY,306005655,3JEAN'S HOME CARE,CHARM RESIDENTIAL CARE INC.,"ALVARADO, MARY JEAN",(714) 749-7237,8552 BARR LANE,GARDEN GROVE,CA,92840,ORANGE,22,6,LICENSED,1/15/2020,
RESIDENTIAL CARE ELDERLY,306000638,3K HOME CARE,"MANIMBO, MARIA NELLY G.",MARIA N.G. MANIMBO,(714) 774-8653,700 S. PLYMOUTH PLACE,ANAHEIM,CA,92806,ORANGE,22,6,LICENSED,10/2/1997,
RESIDENTIAL CARE ELDERLY,197607735,4219 W. 162ND STREET HOME,G & C ADULT RESIDENTIAL FACILITY INC.,CHARMILEY VENTURA,(424) 247-8936,4219 W. 162ND STREET,LAWNDALE,CA,90260,LOS ANGELES,11,3,LICENSED,5/4/2009,
RESIDENTIAL CARE ELDERLY,297000773,49ER SENIOR HOME,"RACKLEY, ZOLA","RACKLEY, ZOLA",(530) 265-5226,437 SACRAMENTO ST.,NEVADA CITY,CA,95959,NEVADA,27,6,CLOSED,7/21/1997,5/1/2015
RESIDENTIAL CARE ELDERLY,336427431,4J'S ELDERLY CARE INC,4J'S ELDERLY CARE INC,"GATUS, JONIE",(760) 799-1464,69272 TACOMA CT,CATHEDRAL CITY,CA,92234,RIVERSIDE,18,6,LICENSED,11/18/2016,
RESIDENTIAL CARE ELDERLY,197609310,4TH GENERATION PLACE INC,4TH GENERATION PLACE INC,"EIGLER, NURIT",(747) 226-0923,23259 VICTORY BLVD,WEST HILLS,CA,91307,LOS ANGELES,31,6,CLOSED,7/19/2017,10/11/2019
RESIDENTIAL CARE ELDERLY,197609882,4TH GENERATION SENIOR LIVING INC.,4TH GENERATION SENIOR LIVING INC.,"AGGARWAL, RASHITA",(209) 505-7922,23259 VICTORY BLVD,WEST HILLS,CA,91307,LOS ANGELES,31,6,LICENSED,10/11/2019,
RESIDENTIAL CARE ELDERLY,197609759,7 HILLS SENIOR LIVING,7 HILLS SENIOR LIVING INC,"SIMITYAN, ARMENUI",(818) 438-8613,7112 OWENS ST,TUJUNGA,CA,91042,LOS ANGELES,31,6,LICENSED,7/23/2019,
RESIDENTIAL CARE ELDERLY,342700783,"7117 MAIN, LLC","PLC 7117 MAIN, LLC","COLEMAN, ROBERT",(707) 592-4004,7117 MAIN AVE,ORANGEVALE,CA,95662,SACRAMENTO,27,6,PENDING,,
RESIDENTIAL CARE ELDERLY,342700782,"7121 MAIN, LLC","7121 MAIN, LLC","COLEMAN, ROBERT",(707) 592-4004,7121 MAIN AVE,ORANGEVALE,CA,95662,SACRAMENTO,27,6,PENDING,,
RESIDENTIAL CARE ELDERLY,342700785,"7125 MAIN, LLC","PLC 7117 MAIN, LLC","COLEMAN, ROBERT",(707) 592-4004,7125 MAIN AVE,ORANGEVALE,CA,95662,SACRAMENTO,27,6,PENDING,,
RESIDENTIAL CARE ELDERLY,347005362,77 ASSISTED LIVING,YAKKO CHANG AND RUDY WU,"WU, RUDY",(916) 388-8328,7730 LORIN AVE,SACRAMENTO,CA,95828,SACRAMENTO,27,6,CLOSED,8/26/2014,8/5/2019
RESIDENTIAL CARE ELDERLY,374603663,808 NEPTUNE,CALIFORNIA RESIDENTIAL HEALTH GROUP LLC,ANDRE HURST,(760) 452-6838,808 NEPTUNE AVE,ENCINITAS,CA,92024,SAN DIEGO,8,3,CLOSED,12/16/2015,4/7/2016
RESIDENTIAL CARE ELDERLY,198602416,9410 SOUTH 3RD AVE LLC,9410 SOUTH 3RD AVENUE LLCC/O INGRAM,"JAMES, INGRAM D",(310) 698-2326,9410 S 3RD AVE,INGLEWOOD,CA,90305,LOS ANGELES,28,6,CLOSED,,1/8/2018
RESIDENTIAL CARE ELDERLY,197609530,9617 FOR CARE,STANWIN BOARD & CARE,"TER-NERSESIAN, ANDRANIK",(818) 665-9631,9617 STANWIN AVE,ARLETA,CA,91331,LOS ANGELES,31,6,CLOSED,,8/16/2019
RESIDENTIAL CARE ELDERLY,197608671,9617 FOR CARE,"STANWIN BOARD & CARE, INC.",SONA TANKAZYAN,(818) 302-6344,9617 STANWIN AVENUE,ARLETA,CA,91331,LOS ANGELES,31,6,LICENSED,5/5/2015,
RESIDENTIAL CARE ELDERLY,385600167,9TH AVENUE COMMUNITY CARE HOME,COMMUNITY WORKS FOR CREATIVE LIVING,"DIMAYUGA, A & VALENCIANO,",(415) 759-5825,1730 - 9TH AVENUE,SAN FRANCISCO,CA,94122,SAN FRANCISCO,14,6,LICENSED,3/1/2003,
RESIDENTIAL CARE ELDERLY,197609109,A'MORECARE HOME ASSISTED LIVING,A'MORECARE HOME ASSISTED LIVING,"ELKAYAM, EDVA",(818) 642-8585,23511 BERDON STREET,WOODLAND HILLS,CA,91367,LOS ANGELES,31,6,LICENSED,6/28/2017,
RESIDENTIAL CARE ELDERLY,197609876,A-1 ASCENDED SENIOR CARE,A-1 ASCENDED SENIOR CARE INC.,"TOPCHYAN, HARUT",(818) 667-4915,16444 GERMAIN STREET,GRANADA HILLS,CA,91344,LOS ANGELES,31,6,LICENSED,11/1/2019,
RESIDENTIAL CARE ELDERLY,197609104,A-1 BOARDING CARE FACILITY,A-1 BOARDING CARE INC,"CHARCHYAN, KARINE",(818) 395-3262,6511 BONNER AVE,NORTH HOLLYWOOD,CA,91606,LOS ANGELES,31,6,LICENSED,8/11/2017,
RESIDENTIAL CARE ELDERLY,317005454,A-1 ELDERLY CARE,"FLORADALE VILLA, INC.",EMIL TIF,(916) 472-6432,103 MCLAREN COURT,ROSEVILLE,CA,95661,PLACER,27,6,LICENSED,10/30/2014,
RESIDENTIAL CARE ELDERLY,342700763,A-1 ELDERLY CARE,"TIF, ROBERT","TIF, ROBERT",(916) 996-4763,5210 ROBERTSON AVE,CARMICHAEL,CA,95608,SACRAMENTO,27,6,PENDING,,
RESIDENTIAL CARE ELDERLY,336426472,A-CLASS HOME CARE SERVICES,MERCEDES DEMONTEVERDE,MERCEDES DEMONTEVERDE,(951) 208-2556,13247 SUNBIRD DRIVE,MORENO VALLEY,CA,92553,RIVERSIDE,18,6,CLOSED,3/4/2016,3/6/2019
RESIDENTIAL CARE ELDERLY,197608879,A-GRACE HOME CARE,"A-GRACE HOME CARE, INC.",HEE YOUNG LEE,(661) 607-4964,23029 FRISCA DRIVE,VALENCIA,CA,91354,LOS ANGELES,31,6,LICENSED,8/11/2015,
RESIDENTIAL CARE ELDERLY,19200693,A-N-D CARE HOMES,"HAMZA, ADE & MORENIKE","HAMZA, MORENIKE",(510) 709-0001,3284 COURTHOUSE PLACE,UNION CITY,CA,94587,ALAMEDA,15,3,LICENSED,3/11/2017,
RESIDENTIAL CARE ELDERLY,317005684,A-PLUS SENIOR CARE,"BALINT, CARMENUTA","BALINT, CARMENUTA",(916) 740-3122,6403 MENDEZ CREEK COURT,ROCKLIN,CA,95765,PLACER,27,6,LICENSED,4/7/2016,
RESIDENTIAL CARE ELDERLY,15600467,A-R RESIDENTIAL CARE FOR ELDERLY,"BAUTISTA, ROMULO S.","BAUTISTA, ROMULO",(510) 475-9058,4733 DARLENE COURT,UNION CITY,CA,94587,ALAMEDA,15,6,LICENSED,7/7/2000,
RESIDENTIAL CARE ELDERLY,11441121,A-SUNSET EAST VILLA,"NATIVIDAD, MARIBEC& JESUS","NATIVIDAD, MARIBEC",(925) 484-3006,1278 ASTI COURT,LIVERMORE,CA,94550,ALAMEDA,15,6,CLOSED,7/22/1994,10/2/2016
RESIDENTIAL CARE ELDERLY,15600563,A - R RESIDENTIAL CARE HOME FOR ELDERLY #2,"BAUTISTA, ROMULO S.","BAUTISTA, ROMULO S.",(510) 324-4478,32322 JEAN DRIVE,UNION CITY,CA,94587,ALAMEDA,15,6,LICENSED,9/17/2001,
RESIDENTIAL CARE ELDERLY,374604026,A 1 PRIME ASSISTED LIVING HAVEN,PRIME ASSISTED LIVING LLC,BLITZ VARSI BARRERA,(619) 621-6216,1811 KNIGHTS FERRY DRIVE,CHULA VISTA,CA,91913,SAN DIEGO,8,6,CLOSED,,1/31/2018
RESIDENTIAL CARE ELDERLY,75601154,A AND D RESIDENTIAL CARE,"CUENCO CARE HOMES, INC",ABIGAIL M CUENCO,(925) 757-1538,5108 DEERSPRINGS WAY,ANTIOCH,CA,94531,CONTRA COSTA,15,6,LICENSED,9/6/2005,
RESIDENTIAL CARE ELDERLY,15601400,"A AND M BOARD&CARE,INNOVATIVE ASSIS.HOME FOR ELDER","EROLIN, MARIA LINDA","GACOTE, ALEC F.",(510) 429-8630,2480 ALMADEN BLVD.,UNION CITY,CA,94587,ALAMEDA,15,6,LICENSED,10/24/2008,
RESIDENTIAL CARE ELDERLY,336407272,A AND S SENIOR QUALITY CARE,"A AND S SENIOR QUALITY CARE, INC.",SUSANA SIMS,(951) 353-1612,17764 ROBUSTA DR.,RIVERSIDE,CA,92503,RIVERSIDE,18,6,LICENSED,5/7/2003,
RESIDENTIAL CARE ELDERLY,331800058,A B CARING SENIOR LIVING,"XU, BAISHENG AND CARRASCO, REBECCA","CARRASCO, REBECCA",(951) 224-1247,1698 ALBERHILL STREET,PERRIS,CA,92571,RIVERSIDE,18,6,LICENSED,3/3/2017,
RESIDENTIAL CARE ELDERLY,331800108,A B CARING SENIOR LIVING 2,BAISHENG XU REBECCA CARRASCO,"CARRASCO, REBECCA",(951) 224-1247,470 MEADOWLARK LANE,PERRIS,CA,92570,RIVERSIDE,18,6,LICENSED,9/27/2017,
RESIDENTIAL CARE ELDERLY,197609349,A BETTER LOVE BOARD AND CARE,E MAC CARE SERVICES INC,"MACANDILI, EDJESKA",(747) 226-0439,6108 SADRING AVE,WOODLAND HILLS,CA,91367,LOS ANGELES,31,6,LICENSED,10/5/2017,
RESIDENTIAL CARE ELDERLY,374603685,A BETTER SOLUTION BOARD AND CARE JAMUL HOUSE,"SMITH, LILLIA",LILLIA SMITH,(619) 303-8519,13773 WHISPERING MEADOWS LANE,JAMUL,CA,91935,SAN DIEGO,8,6,CLOSED,12/22/2015,12/12/2017
RESIDENTIAL CARE ELDERLY,79200543,"A BLISSFUL RETREAT, LLC","A BLISSFUL RETREAT, LLC","OSMAN, SUMAIYA",(925) 726-8888,4200 COWELL ROAD,CONCORD,CA,94518,CONTRA COSTA,15,6,LICENSED,9/26/2016,
RESIDENTIAL CARE ELDERLY,79200881,"A BLISSFUL RETREAT, LLC-WILSON","A BLISSFUL RETREAT, LLC-WILSON","OSMAN, SUMAIYA",(925) 726-8888,4248 WILSON LANE,CONCORD,CA,94521,CONTRA COSTA,15,6,LICENSED,8/16/2019,
RESIDENTIAL CARE ELDERLY,565800622,A BRADLEY HOUSE,"BRADLEY, CHARISSE",CHARISSE BRADLEY,(805) 578-1933,4031 APRICOT ROAD,SIMI VALLEY,CA,93065,VENTURA,31,6,LICENSED,2/22/2001,
RESIDENTIAL CARE ELDERLY,565801788,A BRADLEY HOUSE II,"BRADLEY, CHARISSE",CHARISSE BRADLEY,(805) 404-6516,805 ERRINGER ROAD,SIMI VALLEY,CA,93065,VENTURA,31,6,LICENSED,4/2/2012,
RESIDENTIAL CARE ELDERLY,455001567,A BRAND NEW DAY,"KELTY ENTERPRISES, INC.","TAYLOR, VERNA",(530) 223-1538,779 KERRY-JEN COURT,REDDING,CA,96002,SHASTA,25,26,LICENSED,9/17/2004,
RESIDENTIAL CARE ELDERLY,347005169,A BRIGHT FUTURE,"MULDER, DOUGLAS",MARIANA NEVEZI,(916) 728-4936,4136 SINGING TREE WAY,ANTELOPE,CA,95843,SACRAMENTO,27,6,CLOSED,8/15/2013,12/9/2016
RESIDENTIAL CARE ELDERLY,342700014,A BRIGHT FUTURE,MOIA INC,"IOVITA, ALEXEI",(916) 390-9367,4136 SINGING TREE WAY,ANTELOPE,CA,95843,SACRAMENTO,27,6,LICENSED,12/9/2016,
RESIDENTIAL CARE ELDERLY,197607871,A BURBANK RESIDENTIAL CARE,"A BURBANK RESIDENTIAL CARE, INC.",GAYANE DZHAGARYAN,(818) 687-0077,2020 SCOTT ROAD,BURBANK,CA,91504,LOS ANGELES,28,6,LICENSED,3/25/2010,
RESIDENTIAL CARE ELDERLY,342700118,A CARING HAND,PRIORITY CARE LLC,"JANKOWSKI, AMELITA",(916) 685-3093,6813 ELVORA WAY,ELK GROVE,CA,95757,SACRAMENTO,27,6,LICENSED,9/27/2017,
RESIDENTIAL CARE ELDERLY,374603888,A CARING HEART RESIDENCE,"A CARING HEART RESIDENCE, INC.",MONICA R. ALLAN,(619) 585-4778,371 E. MILLAN STREET,CHULA VISTA,CA,91910,SAN DIEGO,8,6,LICENSED,8/12/2016,
RESIDENTIAL CARE ELDERLY,197609961,A CARING TOUCH BOARD AND CARE,LONGEVITY BOARD AND CARE LLC,"WELLS, NICHOLAS",(510) 384-3431,10348 LARAMIE STREET,CHATSWORTH,CA,91311,LOS ANGELES,31,6,PENDING,,
RESIDENTIAL CARE ELDERLY,197609996,A CARING VILLA,"A CARING VILLA, INC.","CABANBAN, LILIA",(661) 254-6666,25421 VIA GRACIOSO,VALENCIA,CA,91355,LOS ANGELES,31,6,PENDING,,
RESIDENTIAL CARE ELDERLY,425802556,A CASA RHODA 1,CASA RHODA INC,"DEMONTEVERDE, RHODA",(805) 696-6473,341 SANTA ROSALIA WAY,SANTA BARBARA,CA,93111,SANTA BARBARA,29,6,CLOSED,7/27/2016,3/20/2017
RESIDENTIAL CARE ELDERLY,425802108,A CASA RHODA 1,HOMECARE CASA RHODA 123 INC,RHODA ANN B. DEMONTEVERDE,(805) 696-6473,341 SANTA ROSALIA WAY,SANTA BARBARA,CA,93111,SANTA BARBARA,29,6,LICENSED,3/20/2017,
RESIDENTIAL CARE ELDERLY,425802557,A CASA RHODA 2,CASA RHODA INC,"DEMONTEVERDE, NORMA",(805) 964-4236,165 SANTA ANA AVE,SANTA BARBARA,CA,93111,SANTA BARBARA,29,6,CLOSED,7/27/2016,3/20/2017
RESIDENTIAL CARE ELDERLY,425802109,A CASA RHODA 2,HOMECARE CASA RHODA 123 INC,"DEMONTEVERDE, NORMA B",(805) 964-4236,165 SANTA ANA AVENUE,SANTA BARBARA,CA,93111,SANTA BARBARA,29,6,LICENSED,3/20/2017,
